,No,층,업종,이름,전화번호
0,1,B2,서비스,몽트르에삭,031-5173-0100
1,2,B2,서비스,카렉스,031-5173-0002
2,3,B2,대형마트,트레이더스 홀세일 클럽,031-5174-1234
3,4,B1,서비스,SK텔레콤,031-5173-0007
4,5,B1,레스토랑&카페,WOK,031-5173-0052
5,6,B1,레스토랑&카페,갓덴스시(리뉴얼),031-5173-0068
6,7,B1,서비스,고양스타약국,031-5173-0405
7,8,B1,레스토랑&카페,금파,031-5173-0063
8,9,B1,패션의류,나인,031-5173-0012
9,10,B1,레스토랑&카페,노랑분식,
10,11,B1,슈퍼마켓,노브랜드,031-5173-0004
11,12,B1,홈퍼니싱,다이소,031-5173-0010
12,13,B1,레스토랑&카페,달인 명동칼국수 보쌈,
13,14,B1,레스토랑&카페,닭강정공방,
14,15,B1,레스토랑&카페,더앨리,031-5173-0467
15,16,B1,라이프스타일,데스커,031-5173-2443
16,17,B1,패션의류,라수아패밀리,031-5173-0050
17,18,B1,패션의류,러브앤쇼,031-5173-0475
18,19,B1,패션의류,레노마&보니스팍스,031-5173-0478
19,20,B1,홈퍼니싱,로라애슐리,
20,21,B1,패션의류,로엠,031-5173-0037
21,22,B1,패션의류,리스트,031-5173-0020
22,23,B1,홈퍼니싱,리얼컴포트,031-5173-0009
23,24,B1,패션잡화,미니골드,031-5173-0040
24,25,B1,레스토랑&카페,미루꾸커피,
25,26,B1,패션의류,미쏘,031-5173-0048
26,27,B1,패션의류,밀바이스튜디오화이트,031-5173-0044
27,28,B1,패션의류,반에이크,031-5173-0476
28,29,B1,레스토랑&카페,버거스올마이티,
29,30,B1,레스토랑&카페,브럭시,
30,31,B1,패션의류,비비안,031-5173-0041
31,32,B1,레스토랑&카페,삼송빵집,031-5173-0005
32,33,B1,레스토랑&카페,삼진어묵,031-5173-0051
33,34,B1,레스토랑&카페,샤브보트,031-5173-0060
34,35,B1,레스토랑&카페,샤오바오우육면,
35,36,B1,패션의류,세컨스킨x팔케,031-5173-0015
36,37,B1,레스토랑&카페,속초 코다리 냉면,031-5173-0057
37,38,B1,패션의류,쉬즈미스,031-5173-0042
38,39,B1,패션잡화,슈펜,031-5173-0049
39,40,B1,레스토랑&카페,스토리 오브 라망,
