,No,Floor,업종,매장명칭,전화번호,매장위치(Map)
0,1,B2,서비스,몽트르에삭,031-5173-0100,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201711271031483212.do
1,2,B2,서비스,카렉스,031-5173-0002,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487923.do
2,3,B2,대형마트,트레이더스 홀세일 클럽,031-5174-1234,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487922.do
3,4,B1,서비스,SK텔레콤,031-5173-0007,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487928.do
4,5,B1,레스토랑&카페,WOK,031-5173-0052,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487973.do
5,6,B1,레스토랑&카페,갓덴스시(리뉴얼),031-5173-0068,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487989.do
6,7,B1,서비스,고양스타약국,031-5173-0405,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202008281001335767.do
7,8,B1,레스토랑&카페,금파,031-5173-0063,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487984.do
8,9,B1,패션의류,나인,031-5173-0012,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487933.do
9,10,B1,레스토랑&카페,노랑분식,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202209081013038624.do
10,11,B1,슈퍼마켓,노브랜드,031-5173-0004,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487925.do
11,12,B1,홈퍼니싱,다이소,031-5173-0010,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487931.do
12,13,B1,레스토랑&카페,달인 명동칼국수 보쌈,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202208261529398483.do
13,14,B1,레스토랑&카페,닭강정공방,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202012031835336140.do
14,15,B1,레스토랑&카페,더앨리,031-5173-0467,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201911271345235869.do
15,16,B1,라이프스타일,데스커,031-5173-2443,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202105140904586563.do
16,17,B1,패션의류,라수아패밀리,031-5173-0050,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487971.do
17,18,B1,패션의류,러브앤쇼,031-5173-0475,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202009251826165874.do
18,19,B1,패션의류,레노마&보니스팍스,031-5173-0478,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202103241751376448.do
19,20,B1,홈퍼니싱,로라애슐리,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202101141410526225.do
20,21,B1,패션의류,로엠,031-5173-0037,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487958.do
21,22,B1,패션의류,리스트,031-5173-0020,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487941.do
22,23,B1,홈퍼니싱,리얼컴포트,031-5173-0009,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487930.do
23,24,B1,패션잡화,미니골드,031-5173-0040,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487961.do
24,25,B1,레스토랑&카페,미루꾸커피,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202210271246499104.do
25,26,B1,패션의류,미쏘,031-5173-0048,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487969.do
26,27,B1,패션의류,밀바이스튜디오화이트,031-5173-0044,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487965.do
27,28,B1,패션의류,반에이크,031-5173-0476,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202009241931145867.do
28,29,B1,레스토랑&카페,버거스올마이티,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202209080927418623.do
29,30,B1,레스토랑&카페,브럭시,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202110251454156927.do
30,31,B1,패션의류,비비안,031-5173-0041,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487962.do
31,32,B1,레스토랑&카페,삼송빵집,031-5173-0005,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487926.do
32,33,B1,레스토랑&카페,삼진어묵,031-5173-0051,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487972.do
33,34,B1,레스토랑&카페,샤브보트,031-5173-0060,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487981.do
34,35,B1,레스토랑&카페,샤오바오우육면,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202210201551069043.do
35,36,B1,패션의류,세컨스킨x팔케,031-5173-0015,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487936.do
36,37,B1,레스토랑&카페,속초 코다리 냉면,031-5173-0057,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487978.do
37,38,B1,패션의류,쉬즈미스,031-5173-0042,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487963.do
38,39,B1,패션잡화,슈펜,031-5173-0049,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487970.do
39,40,B1,레스토랑&카페,스토리 오브 라망,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202301311750370201.do
40,41,B1,패션의류,스파오,031-5173-0045,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487966.do
41,42,B1,홈퍼니싱,슬로우,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202003101036445001.do
42,43,B1,패션잡화,아프리카 안경원,031-5173-0016,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487937.do
43,44,B1,패션의류,안다르,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202203241742367307.do
44,45,B1,홈퍼니싱,양키캔들,031-5173-0047,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487968.do
45,46,B1,홈퍼니싱,에이스침대,031-5173-0031,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487952.do
46,47,B1,패션의류,엠플레이그라운드,031-5173-0463,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201811201557162060.do
47,48,B1,레스토랑&카페,연남토마,031-5173-0066,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202301121529000121.do
48,49,B1,홈퍼니싱,오덴세 다이네트,031-5173-0468,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201912021054517631.do
49,50,B1,레스토랑&카페,오슬로,031-5173-0069,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201709201231393015.do
50,51,B1,뷰티,올리브영,031-5173-0474,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202008070923315615.do
51,52,B1,패션의류,유니클로,031-5173-0025,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487946.do
52,53,B1,레스토랑&카페,유브유부,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202208251606038466.do
53,54,B1,홈퍼니싱,이브자리 코디센,031-5173-0028,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487949.do
54,55,B1,패션의류,이새,031-5173-0021,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487942.do
55,56,B1,레스토랑&카페,이천가든,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202208241328238443.do
56,57,B1,홈퍼니싱,일룸,031-5173-0026,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487947.do
57,58,B1,홈퍼니싱,자주,031-5173-0035,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487956.do
58,59,B1,레스토랑&카페,정데판,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202209010947308544.do
59,60,B1,패션의류,지스바이,031-5173-0043,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487964.do
60,61,B1,레스토랑&카페,직화한상,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201908201628421413.do
